time_s,ch1,ch2,ch3
0.56962,0.0,-1.1102230246251565e-16,2.220446049250313e-16
0.56964,0.0,0.0,-5.551115123125783e-17
0.56966,-5.551115123125783e-17,0.0,-1.1102230246251565e-16
0.56968,-2.220446049250313e-16,0.0,-3.3306690738754696e-16
0.5697,-3.3306690738754696e-16,-2.220446049250313e-16,-5.551115123125783e-16
0.56972,3.3306690738754696e-16,1.1102230246251565e-16,2.0816681711721685e-16
0.56974,1.3877787807814457e-16,1.1102230246251565e-16,2.220446049250313e-16
0.56976,-4.440892098500626e-16,-1.1102230246251565e-16,-2.220446049250313e-16
0.56978,2.220446049250313e-16,3.3306690738754696e-16,1.942890293094024e-16
0.5698,-2.220446049250313e-16,-2.220446049250313e-16,-3.885780586188048e-16
0.56982,2.220446049250313e-16,-1.1102230246251565e-16,2.220446049250313e-16
0.56984,-4.440892098500626e-16,-1.6653345369377348e-16,-4.440892098500626e-16
0.56986,-8.326672684688674e-17,5.551115123125783e-17,-1.1102230246251565e-16
0.56988,-2.220446049250313e-16,-1.1102230246251565e-16,-2.220446049250313e-16
0.5699,-6.661338147750939e-16,-2.220446049250313e-16,-6.661338147750939e-16
0.56992,5.551115123125783e-17,-2.220446049250313e-16,1.1102230246251565e-16
0.56994,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16
0.56996,3.3306690738754696e-16,2.3592239273284576e-16,4.440892098500626e-16
0.56998,-1.1102230246251565e-16,-5.551115123125783e-17,-2.498001805406602e-16
0.57,2.220446049250313e-16,2.220446049250313e-16,2.7755575615628914e-16
0.57002,5.551115123125783e-17,1.6653345369377348e-16,1.1102230246251565e-16
0.57004,-2.220446049250313e-16,-1.1102230246251565e-16,-2.220446049250313e-16
0.57006,-2.220446049250313e-16,-2.220446049250313e-16,-3.3306690738754696e-16
0.57008,2.220446049250313e-16,0.0,1.1102230246251565e-16
0.5701,-2.220446049250313e-16,-2.220446049250313e-16,-3.3306690738754696e-16
0.57012,1.1102230246251565e-16,-2.220446049250313e-16,2.914335439641036e-16
0.57014,2.220446049250313e-16,0.0,4.85722573273506e-16
0.57016,0.0,0.0,3.3306690738754696e-16
0.57018,2.220446049250313e-16,0.0,2.220446049250313e-16
0.5702,-8.881784197001252e-16,-5.551115123125783e-16,-8.881784197001252e-16
0.57022,2.220446049250313e-16,1.6653345369377348e-16,2.220446049250313e-16
0.57024,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16
0.57026,1.1102230246251565e-16,4.440892098500626e-16,2.220446049250313e-16
0.57028,-5.551115123125783e-16,-4.996003610813204e-16,-8.881784197001252e-16
0.5703,-2.220446049250313e-16,-3.3306690738754696e-16,-2.220446049250313e-16
0.57032,6.661338147750939e-16,6.192962809237201e-16,1.3322676295501878e-15
0.57034,9.992007221626409e-16,9.43689570931383e-16,1.7763568394002505e-15
0.57036,6.661338147750939e-16,7.771561172376096e-16,8.881784197001252e-16
0.57038,-2.7755575615628914e-16,-2.220446049250313e-16,-3.3306690738754696e-16
0.5704,-1.3322676295501878e-15,-1.2212453270876722e-15,-8.881784197001252e-16
0.57042,-3.3306690738754696e-16,-2.220446049250313e-16,-6.661338147750939e-16
0.57044,1.1102230246251565e-15,1.2212453270876722e-15,8.881784197001252e-16
0.57046,5.551115123125783e-16,5.551115123125783e-16,0.0
0.57048,-7.771561172376096e-16,-8.049116928532385e-16,-1.7763568394002505e-15
0.5705,-5.551115123125783e-16,-8.881784197001252e-16,-8.881784197001252e-16
0.57052,0.0,-2.220446049250313e-16,1.1102230246251565e-16
0.57054,8.881784197001252e-16,1.1102230246251565e-15,1.7763568394002505e-15
0.57056,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16
0.57058,-6.106226635438361e-16,-7.771561172376096e-16,-8.881784197001252e-16
0.5706,-6.661338147750939e-16,-6.106226635438361e-16,-1.3322676295501878e-15
0.57062,-2.220446049250313e-16,-1.942890293094024e-16,-3.469446951953614e-16
0.57064,4.440892098500626e-16,3.7470027081099033e-16,6.661338147750939e-16
0.57066,2.7755575615628914e-16,2.220446049250313e-16,4.440892098500626e-16
0.57068,0.0,-1.6653345369377348e-16,0.0
0.5707,-4.440892098500626e-16,-4.440892098500626e-16,-5.551115123125783e-16
0.57072,1.1102230246251565e-16,5.551115123125783e-17,0.0
0.57074,0.0,1.8041124150158794e-16,-2.220446049250313e-16
0.57076,-2.220446049250313e-16,2.8449465006019636e-16,4.440892098500626e-16
0.57078,3.3306690738754696e-16,3.2612801348363973e-16,6.661338147750939e-16
0.5708,-1.5265566588595902e-16,-5.551115123125783e-17,-3.3306690738754696e-16
0.57082,-1.1102230246251565e-16,-1.6653345369377348e-16,-2.220446049250313e-16
0.57084,0.0,-1.3877787807814457e-16,-1.1102230246251565e-16
0.57086,5.551115123125783e-17,0.0,1.0755285551056204e-16
0.57088,4.440892098500626e-16,0.0,2.220446049250313e-16
0.5709,-2.220446049250313e-16,-2.220446049250313e-16,0.0
0.57092,2.220446049250313e-16,0.0,2.220446049250313e-16
0.57094,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
0.57096,5.551115123125783e-17,2.220446049250313e-16,-1.1102230246251565e-16
0.57098,7.546047120499111e-17,1.1102230246251565e-16,0.0
0.571,1.1102230246251565e-16,0.0,1.1102230246251565e-16
0.57102,-2.220446049250313e-16,-1.1102230246251565e-16,-2.7755575615628914e-16
0.57104,-2.220446049250313e-16,-9.71445146547012e-17,-2.220446049250313e-16
0.57106,1.1102230246251565e-16,1.1102230246251565e-16,1.3877787807814457e-16
0.57108,-1.1102230246251565e-16,-2.7755575615628914e-17,-1.1102230246251565e-16
0.5711,-2.220446049250313e-16,-1.1102230246251565e-16,-2.498001805406602e-16
0.57112,-2.220446049250313e-16,-1.1102230246251565e-16,-3.677613769070831e-16
0.57114,-2.220446049250313e-16,0.0,-4.440892098500626e-16
0.57116,1.5265566588595902e-16,2.220446049250313e-16,2.220446049250313e-16
0.57118,-1.1102230246251565e-16,5.551115123125783e-17,0.0
0.5712,-1.1102230246251565e-16,-1.6653345369377348e-16,-5.551115123125783e-17
0.57122,-3.3306690738754696e-16,-2.220446049250313e-16,-4.440892098500626e-16
0.57124,2.7755575615628914e-17,-5.551115123125783e-17,5.551115123125783e-17
0.57126,2.220446049250313e-16,1.6653345369377348e-16,4.440892098500626e-16
0.57128,0.0,-8.326672684688674e-17,0.0
0.5713,-2.7755575615628914e-16,-2.8796409701215e-16,-2.220446049250313e-16
0.57132,2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17
0.57134,2.0122792321330962e-16,2.7755575615628914e-16,0.0
0.57136,-1.1102230246251565e-16,-1.1102230246251565e-16,-2.42861286636753e-16
